file_name,question,human_answer,llm_answer,score
454398.txt,"
Co v tomto případu učinil žalovaný za právní kroky?
","
Žalovaný písemně uznal svůj dluh, ale k žalobě se nevyjádřil.","
Žalovaný se k žalobě nevyjádřil.",5
449826.txt,"
Kolik toho žalovaná splatila?
","
Žalovaná splatila částku 22.910 Kč, tedy 9 splátek.","
Žalovaná splatila 22.910 Kč.",5
450001.txt,"
Kdo nesl ve věci důkazní břemeno?
","
Důkazní břemeno přešlo na žalovanou, protože žalobkyně nemůže prokazovat, že žalovaná něco neučinila.","
Důkazní břemeno nese žalovaná.",5
449857.txt,"
Z jakých důkazů soud vyšel?
","
Zjištěné údaje o vozidle [registrační značka], druhá upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 19.8.2020, předžalobní upomínka ze dne 24.11.2020, zjištěné údaje o vozidle [registrační značka], výzva k zaplacení dlužné částky ze dne 29.9.2022, předžalobní upomínka ze dne 29.11.2022, výzva k zaplacení dlužné částky ze dne 3.10.2022 včetně sledování zásilek, upomínka o úhradu nedoplatku ze dne 9.7.2022, výzva k úhradě příspěvku do garančního fondu ze dne 11.3.2022, upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 11.2.2021.","
Soud vyšel z důkazů zjištěných údajů o vozidle, upomínek a výzev k zaplacení dlužné částky.",4
449878.txt,"
Na koho se soud v rozhodnutí odvolává?
","
Soud se odvolává na rozhodnutí Soudního dvora EU z roku 2020.","
Soud se odvolává na Soudní dvůr.",2
450042.txt,"
K jakému soudu je možné podat ve věci odvolání?
","
Ke Krajskému soudu v Brně prostřednictvím Okresního soudu v Jihlavě.","
Krajskému soudu v Brně prostřednictvím Okresního soudu v Jihlavě.",10
449869.txt,"
Proč je žalovaný povinen něco platit žalobci?
","
Protože žalovaný užíval byt žalobce bez právního důvodu a bezdůvodně se tak obohatil.","
Žalovaný je povinen zaplatit žalobci peněžitou náhradu ve výši obvyklé ceny za užívání bytu bez právního důvodu.",7
454226.txt,"
Jak se žalovaný bránil proti žalobě?
","
Žalovaný se nijak nevyjádřil.","
Žalovaný se nevyjádřil.",10
454243.txt,"
Kde je stanovena denní sazbu příspěvku pojištění odpovědnosti při provozu osobního automobilu?
","
Denní sazba je uvedena v ust. § 2 odst. 1 vyhlášky Ministerstva financí č. 205/1999 Sb.","
Denní sazba příspěvku pojištění odpovědnosti při provozu osobního automobilu je stanovena v § 2 odst. 1 vyhlášky Ministerstva financí č. 205/1999 Sb.",4
449698.txt,"
Jaký typ pojištění byl mezi stranami uzavřen?
","
Životní pojištění s pojistnou dobou 29 let.","
Mezi žalobkyní jako pojistitelem a žalovaným jako pojistníkem byla dne [datum] uzavřena Pojistná smlouva [příjmení] životní pojištění [příjmení] [příjmení] 20 pro životní pojištění na pojistnou dobu 29 let s počátkem pojištění [datum].",2
1018.txt,"
Kdo se chtěl rozvést s kým?
","
Návrh podal manžel, avšak manželka se k němu připojila rozvést se tedy chtěli oba dva manželé.","
Manžel [celé jméno manžela] se chtěl rozvést s manželkou [celé jméno manželky].",3
12502.txt,"
Kolikrát žalovaný použil dopravní prostředek žalobkyně?
","
Žalovený takto cestoval jednou a to tramvají.","
Žalovaný cestoval tramvají linkou 1.",7
449829.txt,"
Odkdy dokdy nebylo vozidlo pojištěno?
","
Od 1. 6. 2021 do 30. 9. 2021 a od 1. 10. do 1. 11. 2021.","
Od 1. 6. 2021 do 30. 9. 2021 a od 1. 10. 2021 do 1. 11. 2021.",10
895.txt,"
Které měsíce žalovaný poplatek zaplatil?
","
Žalovaný zaplatil za leden až duben 2018.","
Žalovaný zaplatil poplatek za měsíce leden 2018 až duben 2018.",10
449749.txt,"
V jakém složení soud rozhodl ve věci?
","
Věc posuzovala samosoudkyně.","
Soud rozhodoval v jednacím složení jednoho soudce.",8
449861.txt,"
Jakou smlouvu spolu uzavřeli žalobci a žalovaný?
","
Smlouvu o nájmu nebytových prostor.","
Smlouvu o nájmu nebytových prostor.",10
449683.txt,"
Jak se neodborně nazývá typ pojištění odpovědnosti, o kterém v případě šlo?
","
Povinné ručení","
Povinné ručení",10
744.txt,"
Proč se manželé rozvedli?
","
Důvodem bylo neplnění společenské funkce manželství.","
Manželství neplní svoji společenskou funkci.",10
449702.txt,"
Čeho se dopustil žalovaný?
","
Žalovaný se dopustil bezdůvodného obohacení.","
Žalovaný se dopustil bezdůvodného obohacení.",10
449948.txt,"
Jaká úroková sazba byla mezi stranami sjednána?
","
Úroková sazba byla 2,90 % p.a. a 20% p.a. v případě úroku z prodlení.","
Úroková sazba byla 2,90 % p.a.",5
449787.txt,"
Jak dlouho jezdil žalovaný bez pojištění odpovědnosti?
","
Žalovaný po 70 dní neměl sjednáno pojištění.","
Žalovaný jezdil bez pojištění odpovědnosti 70 dní.",10
449935.txt,"
Podle kterého zákona soud posoudil skutkový stav?
","
Podle zák. č. 168/1999 Sb., o pojištění odpovědnosti z provozu vozidla.","
Soud posoudil skutkový stav podle zák. č. 168/1999 Sb., o pojištění odpovědnosti z provozu vozidla.",10
