,index,file_name,question,human_answer,llm_answer,score,llm_type,question_id
16,16,807.txt,"
Co je to exponenciální časová složitost?
","
Bohužel není možné odpovědět na základě poskytnutých informací, ty se týkají soudních rozhodnutí.","Exponenciální časová složitost je matematický termín, který se používá k popisu algoritmů nebo výpočetních problémů, jejichž časová složitost roste exponenciálně s velikostí vstupních dat. To znamená, že čím větší jsou vstupní data, tím déle trvá algoritmu nebo problému vyřešit. V tomto konkrétním případě se však nejedná o exponenciální časovou složitost, ale o právní posouzení smluvních povinností a nároků žalobce na odměnu za poskytnutou právní službu.",1,gpt,16
17,17,663.txt,"
Které zákony soud použil při svém rozhodování?
","
Soud postupoval podle občanského zákoníku a podle občanského soudního řádu.","Soud při svém rozhodování použil následující zákony:

- Zákon č. 89/2012 Sb., občanský zákoník, konkrétně § 2758 odst. 1, který stanoví, že pojistitel se zavazuje poskytnout pojistníkovi nebo třetí osobě pojistné plnění v případě nastání pojistné události.
- Zákon č. 89/2012 Sb., občanský zákoník, konkrétně § 2782 odst. 1, který stanoví, že pojistitel má právo na pojistné za dobu trvání pojištění.
- Zákon č. 89/2012 Sb., občanský zákoník, konkrétně § 1970, který stanoví, že věřitel, který řádně splnil své povinnosti, může požadovat zaplacení úroku z prodlení od dlužníka, který je v prodlení se splácením peněžitého dluhu.

Těmito zákony soud posoudil věc po právní stránce.",9,gpt,17
18,18,697.txt,"
Jaké číslo má zákon, podle kterého soud postupoval?
","
Číslo zákona je 348/2005 Sb.","Zákon, podle kterého soud postupoval, je zákon č. 348/2005 Sb.",10,gpt,18
19,19,12521.txt,"
Jakou smlouvu spolu strany uzavřely?
","
Strany spolu uzavřely smlouvu o revolvingovém/spotřebitelském úvěru.",Strany uzavřely smlouvu o postoupení pohledávek.,1,gpt,19
20,20,450001.txt,"
Kdo nesl ve věci důkazní břemeno?
","
Důkazní břemeno přešlo na žalovanou, protože žalobkyně nemůže prokazovat, že žalovaná něco neučinila.","Důkazní břemeno ohledně skutečnosti, že žalovaná nezaplatila žalovanou částku, přechází na žalovanou. Je na žalované, aby soudu prokázala, že zaplatila řádně a včas.",7,gpt,20
21,21,449857.txt,"
Z jakých důkazů soud vyšel?
","
Zjištěné údaje o vozidle [registrační značka], druhá upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 19.8.2020, předžalobní upomínka ze dne 24.11.2020, zjištěné údaje o vozidle [registrační značka], výzva k zaplacení dlužné částky ze dne 29.9.2022, předžalobní upomínka ze dne 29.11.2022, výzva k zaplacení dlužné částky ze dne 3.10.2022 včetně sledování zásilek, upomínka o úhradu nedoplatku ze dne 9.7.2022, výzva k úhradě příspěvku do garančního fondu ze dne 11.3.2022, upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 11.2.2021.","Soud vyšel z následujících důkazů: zjištěné údaje o vozidle (registrační značka), druhá upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 19.8.2020, předžalobní upomínka ze dne 24.11.2020, zjištěné údaje o vozidle (registrační značka), výzva k zaplacení dlužné částky ze dne 29.9.2022, předžalobní upomínka ze dne 29.11.2022, výzva k zaplacení dlužné částky ze dne 3.10.2022 včetně sledování zásilek, upomínka o úhradu nedoplatku ze dne 9.7.2022, výzva k úhradě příspěvku do garančního fondu ze dne 11.3.2022, upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 11.2.2021. Na základě těchto důkazů soud dospěl k závěru, že žalovaný neuzavřel smlouvu o pojištění odpovědnosti za škodu způsobenou vozidlem, které vlastnil v určitém období, a neprovedl platbu za nepojištěné vozidlo, přestože byl k tomu vyzván a upomínán.",10,gpt,21
22,22,895.txt,"
Které měsíce žalovaný poplatek zaplatil?
","
Žalovaný zaplatil za leden až duben 2018.",Žalovaný zaplatil televizní poplatek za měsíce duben 2017 až červenec 2019 (vyjma měsíců leden 2018 až duben 2018). Celkem tedy zaplatil 3 240 Kč.,1,gpt,22
23,23,454305.txt,"
Jakým způsobem se žalovaný bránil proti žalobě?
","
Žalovaný se vůbec nevyjádřil.",Žalovaný se k žalobě nevyjádřil.,10,gpt,23
24,24,449826.txt,"
Kolik toho žalovaná splatila?
","
Žalovaná splatila částku 22.910 Kč, tedy 9 splátek.","Žalovaná splatila celkem 22.910 Kč, což odpovídá 9 splátkám.",10,gpt,24
25,25,454304.txt,"
Kolik požadovala žalobkyně a kolik jí soud přiznal?
","
Soud přiznal žalobkyni částku 129 328,71 Kč se zákonným úrokem z prodlení ve výši 7,75% ročně z částky 105 049,77 Kč. Žalobkyně navíc požadovala zaplacení úroku ve výši 14,2 % ročně z částky 102 232,13 Kč od [datum] do zaplacení a zákonného úroku z prodlení ve výši 7,75 % ročně z částky 10 603,36 Kč od [datum] do zaplacení.","Žalobkyně požadovala částku 129 328,71 Kč. Soud jí přiznal tuto částku.",2,gpt,25
26,26,454243.txt,"
Kde je stanovena denní sazbu příspěvku pojištění odpovědnosti při provozu osobního automobilu?
","
Denní sazba je uvedena v ust. § 2 odst. 1 vyhlášky Ministerstva financí č. 205/1999 Sb.","Denní sazba příspěvku pojištění odpovědnosti při provozu osobního automobilu je stanovena vyhláškou Ministerstva financí č. 205/1999 Sb. Podle této vyhlášky se výše denní sazby příspěvku liší podle zdvihového objemu válců motoru. Pro osobní automobil se zdvihovým objemem válců motoru do 1 000 cm3 včetně je denní sazba 30 Kč, pro automobil s objemem nad 1 000 cm3 do 1 350 cm3 včetně je denní sazba 35 Kč, pro automobil s objemem nad 1 350 cm3 do určitého čísla cm3 včetně je denní sazba 47 Kč, pro automobil s objemem nad 1 850 cm3 do určitého čísla cm3 včetně je denní sazba 65 Kč a pro automobil s objemem nad 2 500 cm3 je denní sazba 93 Kč.",4,gpt,26
27,27,449749.txt,"
V jakém složení soud rozhodl ve věci?
","
Věc posuzovala samosoudkyně.",Soud ve věci rozhodl v složení samosoudkyně Mgr. Zuzana Lasotová Brabcová.,10,gpt,27
28,28,449644.txt,"
Kdo tento soudní spor vyhrál?
","
Vyhrála žalobykně, byť jen částečně (soud část žaloby zamítl).",Žalobkyně vyhrála tento soudní spor.,7,gpt,28
29,29,449893.txt,"
O jakou neplatnost smlouvy se v tomto případě jednalo?
","
Neplatnost absolutní.","V tomto případě se jednalo o neplatnost smlouvy o spotřebitelském úvěru. Soud dospěl k závěru, že smlouva je neplatná pro rozpor se zákonem (§ 588 o. z.) a zároveň zjevně narušuje veřejný pořádek. Jedná se o neplatnost absolutní, což znamená, že smlouva je neplatná od samého počátku a na právní úkon se hledí jako by nikdy nevznikl.",10,gpt,29
30,30,454226.txt,"
Jak se žalovaný bránil proti žalobě?
","
Žalovaný se nijak nevyjádřil.","Žalovaný se proti žalobě nevyjádřil a neinformoval soud o žádném vážném důvodu, který by mu v tom bránil. Soud proto měl za to, že nárok, který byl proti němu žalobou uplatněn, uznává a na základě toho rozhodl rozsudkem pro uznání dle § 153a odst. 3 občanského soudního řádu.",9,gpt,30
31,31,449948.txt,"
Jaká úroková sazba byla mezi stranami sjednána?
","
Úroková sazba byla 2,90 % p.a. a 20% p.a. v případě úroku z prodlení.","Úroková sazba mezi stranami sjednaná byla fixní úroková sazba 2,90 % p.a. v období ode dne prvního čerpání úvěru do [datum].",2,gpt,31
32,32,449878.txt,"
Na koho se soud v rozhodnutí odvolává?
","
Soud se odvolává na rozhodnutí Soudního dvora EU z roku 2020.","Soud se v rozhodnutí odvolává na Soudní dvůr, který ve věci C (OPR- [právnická osoba] proti GK) vyslovil výklad článků 8 a 23 směrnice, který stanovuje, že vnitrostátní soud musí zkoumat, zda došlo k porušení předsmluvní povinnosti věřitele posoudit úvěruschopnost spotřebitele a vyvodit důsledky, které z tohoto porušení vyplývají ve vnitrostátním právu. Soudní dvůr také uvedl, že sankce za porušení této povinnosti musí splňovat požadavky článku 23 směrnice. Dále Soudní dvůr stanovil, že články 8 a 23 směrnice brání vnitrostátní úpravě, která stanovuje sankce za porušení předsmluvní povinnosti věřitele posoudit úvěruschopnost spotřebitele, a to pouze za podmínky, že spotřebitel tuto neplatnost namítne v tříleté promlčecí době.",10,gpt,32
33,33,449787.txt,"
Jak dlouho jezdil žalovaný bez pojištění odpovědnosti?
","
Žalovaný po 70 dní neměl sjednáno pojištění.","Žalovaný jezdil bez pojištění odpovědnosti 70 dní, a to od [datum] do [datum].",10,gpt,33
34,34,449829.txt,"
Odkdy dokdy nebylo vozidlo pojištěno?
","
Od 1. 6. 2021 do 30. 9. 2021 a od 1. 10. do 1. 11. 2021.","Vozidlo nebylo pojištěno od 1. 6. 2021 do 30. 9. 2021, což je celkem 122 dní. Dále nebylo pojištěno od 1. 10. 2021 do 1. 11. 2021, což je celkem 32 dní.",10,gpt,34
35,35,454398.txt,"
Co v tomto případu učinil žalovaný za právní kroky?
","
Žalovaný písemně uznal svůj dluh, ale k žalobě se nevyjádřil.","Žalovaný v tomto případě nevyjádřil souhlas s projednáním věci a rozhodnutím bez nařízení jednání. Soud vyzval žalovaného, aby se vyjádřil k této výzvě, avšak žalovaný se nevyjádřil. Soud proto předpokládal, že žalovaný souhlasí s projednáním věci a rozhodnutím bez nařízení jednání.",2,gpt,35
36,36,454274.txt,"
Podle jakých zákonů soud věc posoudil?
","
Soud věc posoudil podle zákona č. 458/2000 Sb., o podmínkách podnikání a o výkonu státní správy v energetických odvětvích a o změně některých zákonů (energetický zákon), ve spojení se zákonem č. 89/2012 Sb., občanský zákoník (dále jen„ OZ“).","Soud věc posoudil podle zákona č. 458/2000 Sb., o podmínkách podnikání a o výkonu státní správy v energetických odvětvích a o změně některých zákonů (energetický zákon), ve spojení se zákonem č. 89/2012 Sb., občanský zákoník (OZ). Konkrétně se soud odvolával na § 72 odst. 2 větu první energetického zákona, který stanoví, že smlouvou o sdružených službách dodávky plynu se výrobce plynu nebo obchodník s plynem zavazuje dodávat zákazníkovi plyn a zajistit související služby v plynárenství na vlastní jméno a na vlastní účet. Zákazník se naopak zavazuje zaplatit za dodávku plynu cenu a za související služby cenu uplatňovanou v souladu s cenovou regulací.",9,gpt,36
37,37,449683.txt,"
Jak se neodborně nazývá typ pojištění odpovědnosti, o kterém v případě šlo?
","
Povinné ručení","V případě šlo o pojištění odpovědnosti z provozu vozidla, které je také známé jako tzv. povinné ručení.",10,gpt,37
38,38,449698.txt,"
Jaký typ pojištění byl mezi stranami uzavřen?
","
Životní pojištění s pojistnou dobou 29 let.",Mezi stranami byla uzavřena Pojistná smlouva na životní pojištění.,2,gpt,38
39,39,450226.txt,"
Kolik titulů má soudce, který věc řešil?
","
Má 2 tituly: Mgr. a Bc.","Na základě poskytnuté části rozhodnutí nelze určit, kolik titulů má soudce, který věc řešil.",1,gpt,39
40,40,449702.txt,"
Čeho se dopustil žalovaný?
","
Žalovaný se dopustil bezdůvodného obohacení.","Žalovaný se dopustil bezdůvodného obohacení tím, že přijal peněžní prostředky ve výši 10 000 Kč na svůj bankovní účet, které mu byly poskytnuty společností [právnická osoba]. Pohledávka byla následně postoupena na žalobkyni a žalovaný, přes výzvu, částku nevrátil.",7,gpt,40
41,41,1018.txt,"
Kdo se chtěl rozvést s kým?
","
Návrh podal manžel, avšak manželka se k němu připojila rozvést se tedy chtěli oba dva manželé.",Manžel se chtěl rozvést se svou manželkou.,2,gpt,41
42,42,744.txt,"
Proč se manželé rozvedli?
","
Důvodem bylo neplnění společenské funkce manželství.","Manželé se rozvedli, protože manželka podala návrh na rozvod manželství s argumentem, že manželství neplní svoji společenskou funkci. Manžel s návrhem souhlasil. Soud zjistil, že manželství bylo uzavřeno po roční známosti z důvodu vzájemné citové náklonnosti. Oba manželé uvedli, že manželství bylo spokojené asi po dobu jednoho roku, ale poté mezi nimi vznikaly neshody ve finančních záležitostech a ve všech oblastech společného soužití. Manželé žijí odděleně asi čtyři roky a společné hospodaření a intimní soužití bylo ukončeno přibližně před čtyřmi lety. V současné době žádný z manželů není citově vázán k jinému partnerovi.",8,gpt,42
43,43,1925.txt,"
Jak se jmenuje společnost, která poskytla spotřebitelský úvěr?
","
Provident","Společnost, která poskytla spotřebitelský úvěr, se jmenuje Provident.",10,gpt,43
44,44,449935.txt,"
Podle kterého zákona soud posoudil skutkový stav?
","
Podle zák. č. 168/1999 Sb., o pojištění odpovědnosti z provozu vozidla.","Soud posoudil skutkový stav podle zákona č. 168/1999 Sb., o pojištění odpovědnosti z provozu vozidla, ve znění účinném v době tvrzeného provozování vozidla bez uzavřeného pojištění odpovědnosti.",10,gpt,44
45,45,449892.txt,"
Jakou částku (už) žalovaný žalobkyni uhradil?
","
Žalovaný neuhradil žádnou částku, proto byl žalován.","Žalovaný žalobkyni uhradil částku ve výši 69 848,18 Kč.",1,gpt,45
46,46,449861.txt,"
Jakou smlouvu spolu uzavřeli žalobci a žalovaný?
","
Smlouvu o nájmu nebytových prostor.","Žalobci a žalovaný uzavřeli smlouvu o nájmu nebytových prostor v ulici [příjmení] [anonymizováno] v přízemí budovy [adresa]. Žalovaný se zavázal platit žalobcům nájemné do 25. dne měsíce předcházejícího. Byla také sjednána smluvní pokuta ve výši 0,05 % z dlužné částky za každý den prodlení s úhradou nájemného. Nájemné za období od 1. 1. 2020 do 31. 3. 2020 činilo 25 000 Kč měsíčně a od 1. 4. 2020 činilo nájemné 20 000 Kč měsíčně. Dne 22. 11. 2021 byla mezi žalobci a žalovaným uzavřena dohoda o ukončení nájmu.",10,gpt,46
47,47,12502.txt,"
Kolikrát žalovaný použil dopravní prostředek žalobkyně?
","
Žalovený takto cestoval jednou a to tramvají.",Žalovaný použil dopravní prostředek žalobkyně jednou.,4,gpt,47
48,48,449869.txt,"
Proč je žalovaný povinen něco platit žalobci?
","
Protože žalovaný užíval byt žalobce bez právního důvodu a bezdůvodně se tak obohatil.","Žalovaný je povinen něco platit žalobci, protože se bez spravedlivého důvodu obohatil na jeho úkor. Žalovaný získal majetkový prospěch tím, že užíval byt bez právního důvodu a za to žalobci nehradil. Vzhledem k tomu, že vydání předmětu bezdůvodného obohacení není dobře možné, má žalobce právo na peněžitou náhradu ve výši obvyklé ceny. Obvyklou cenou je částka, kterou by žalovaný byl povinen za obvyklých okolností platit za nájem předmětného bytu. Soud určil tuto částku dle předpisu nájemného. Splatnost bezdůvodného obohacení nastala po uplynutí lhůty k plnění ve výzvě, kterou zaslal žalobce žalovanému. Žalovaný je tedy v prodlení a soud přiznal žalobci zákonný úrok z prodlení.",9,gpt,48
49,49,450042.txt,"
K jakému soudu je možné podat ve věci odvolání?
","
Ke Krajskému soudu v Brně prostřednictvím Okresního soudu v Jihlavě.",Ve věci odvolání je možné podat odvolání ke Krajskému soudu v Brně prostřednictvím Okresního soudu v Jihlavě.,10,gpt,49
50,0,1927.txt,"
Kolik ústních jednání ve věci proběhlo?
","
Ve věci žádné ústní jednání neproběhlo, účastníci souhlasi s rozhodnutím bez nařízení ústního jednání."," Answer in Czech:

Žádného ústního jednání ve věci neproběhlo.",8,llama,0
51,1,968.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 3344,95 Kč."," Celkem by Žalovaný měl zaplatit 3 344,95 Kč (1 855,95 Kč + 1 489 Kč).",10,llama,1
52,2,125.txt,"
O co se v této věci vedl spor? (jednou větou)
","
Žalobkyně požadavala zaplacení částky za odběr krve po žalovaném."," O plátění částky 8 246 Kč, které bylo vyúčtované žalovanému jako kompenzace za údajnou újmu způsobenou ovlivněním návykovou látkou.",1,llama,2
53,3,829.txt,"
Ohledně čeho spolu strany uzavřely pojištění?
","
Šlo o pojištění odpovědnosti za škodu způsobenou provozem vozidla.", Škody způsobené provozem vozidla.,2,llama,3
54,4,1912.txt,"
Jak často mělo být placeno pojistné?
","
Pojistné bylo sjednáno s jednou roční splátkou."," Pojistné bylo sjednáno na dobu neurčitou, ale hrazení pojistného pro příslušné pojistné období bylo sjednáno v jedné roční splátce.",7,llama,4
55,5,666.txt,"
Kolik činila přirážka k jízdnému při jízdě načerno?
","
Jednorázová přirážka je 1 500 Kč.", Answer: 1 500 Kč,8,llama,5
56,6,474.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 4535 Kč + úrok z prodlení z částky 1523 za 2 nespecifikovaná období.", Žalovaný musí zaplatit celkem 4 617 Kč (3 046 Kč + 1 523 Kč + 1 489 Kč).,1,llama,6
57,7,1952.txt,"
Jaký typ právního výkladu soud zmiňuje v rozhodnutí?
","
Soud hovoří o gramatickém a logickém výkladu.", Gramatický a logický výklad.,9,llama,7
58,8,1988_2.txt,"
Podle jakého zákona soud věc posoudil?
","
Soud věc posoudil podle zákona č. 89/2012 Sb., občanského zákoníku (OZ)."," Podle zákona č. 89/2012 Sb., občanský zákoník (dále jen ""o.z."").",8,llama,8
59,9,1988.txt,"
Jaký typ smlouvy spolu uzavřeli žalobkyně a žalovaný?
","
Žalobkyně a žalovaný spolu uzavřeli smlouvu o úvěru.", Smlouva o úvěru.,1,llama,9
60,10,595.txt,"
V jaké výši je možné stanovit přiřážku? Kdo a jak ji stanoví?
","
Přirážka může být maximálně 1 500 Kč a stanovena je dopravcem v přepravních podmínkách."," Answer:
Podle § 37 odst. 6 zák. č. 266/1994 Sb. může být přirážka stanovena až do výše 1 500 Kč. Dopravce stanoví výši přirážky v přepravních podmínkách.",10,llama,10
61,11,689.txt,"
Jak se vypočítá příspěvek za provozování vozidla?
","
Příspěvek se vypočítá jako součin počtu dní provozu vozidla a částky 34 Kč jakožto denní sazby."," Příspěvek za provozování vozidla se vypočítá jako součin počtu dní období, ve kterém bylo vozidlo provozováno, a denní sazby, která činí 34 Kč pro osobní vozidlo se zdvihovým objemem válců motoru nad 1 350 cm³ do 1 850 cm³.",10,llama,11
62,12,1970.txt,"
Jak soud ve věci postupoval?
","
Soud nejprve vydal platební rozkaz, ale ten se nepodařilo žalované doručit, a tak jej zrušil usnesením. Poté projednal věc bez nařízení jednání, protože se účastníci tohoto práva vzdali. Soud provedl dokazování na základě listin ve spise."," Okresní soud v Kladně svě chezel platební rozkaz, ale jeliko se nepodařilo doručit do rukou žalovaného, byla tato usnesením zrušena. Poté soud použil § 115a zákona č. 99/1963 Sb. a projednal věc bez nařízení jednání, protože účastníci se vzdali práva účasti na projednání věci. Soud provedl listinami",8,llama,12
63,13,949_2.txt,"
Které právní předpisy soud použil při rozhodování?
","
Soud použil občanský zákoník, energetických zákon a cenové rozhodnutí ERÚ"," Soud použil ustanovení §§ 497, 1746 odst. 2 a ustanovení § 1828 a násl. zák. č. 89/2012 Sb., občanský zákoník, dále podle dopadajících ustanovení zák. č. 458/2000 Sb. o podmínkách podnikání a o výkonu státní správy v energetických odvětvích a o změ",10,llama,13
64,14,1898.txt,"
Jakými dopravními prostředky cestovala žalovaná?
","
Žalovaná cestovala autobusem MHD a trolejbusem MHD.", Žalovaná cestovala autobusem MHD a trolejbusem MHD.,10,llama,14
65,15,949.txt,"
Čeho se týkala smlouva mezi žalobkyní a žalovanou?
","
Smlouva se týkala dodávky zemního plynu do odběrného místa."," Šlo Between the plaintiff and the defendant was a contract for the supply of natural gas, according to which the plaintiff delivered gas to the defendant's address at [street and number] between [date] and [date] for an unpaid amount of CZK 1,124. The debt became due on [date]. The defendant also failed to pay for the gas supply for the period from [date] to [date] in the amount of CZK 594. The debt became due on [date]. In addition, the plaintiff",2,llama,15
66,16,807.txt,"
Co je to exponenciální časová složitost?
","
Bohužel není možné odpovědět na základě poskytnutých informací, ty se týkají soudních rozhodnutí."," Exponenciální časová složitost je situace, když právník poskytne službu klientovi prostřednictvím telefonické konzultace a následně klient souhlasí s uhradením nákladů, ale neuhradí je. Tato situace je možná i v jiných oborech, než jsou právní služby, napříkle v oboru informační technologie, kde může být složitost nabyta pomocí exponenci",1,llama,16
67,17,663.txt,"
Které zákony soud použil při svém rozhodování?
","
Soud postupoval podle občanského zákoníku a podle občanského soudního řádu."," Soud použil při svém rozhodování následující zákony:

* Občanský zákoník (§ 2758 odst. 1 a § 2782 odst. 1)
* Zákon o dlužnících (§ 1970)
* Vyhláška č. 351/2013 Sb., ve znění pozdějších předpisů
* Advokátní tarif (§ 6 odst. 1 a § ",2,llama,17
68,18,697.txt,"
Jaké číslo má zákon, podle kterého soud postupoval?
","
Číslo zákona je 348/2005 Sb.", Zákon č. 348/2005 Sb.,10,llama,18
69,19,12521.txt,"
Jakou smlouvu spolu strany uzavřely?
","
Strany spolu uzavřely smlouvu o revolvingovém/spotřebitelském úvěru.", Smlouvu o postoupení pohledávek a smlouvu o revolvingovém úvěru.,4,llama,19
70,20,450001.txt,"
Kdo nesl ve věci důkazní břemeno?
","
Důkazní břemeno přešlo na žalovanou, protože žalobkyně nemůže prokazovat, že žalovaná něco neučinila."," Žalovaná nesla důkazní břemeno, neboť žalobkyně nemohla prokazat negativní skutečnost, že žalovaná neučinila úhradu.",9,llama,20
