file_name,question,human_answer,llm_answer,score
12521.txt,"
Jakou smlouvu spolu strany uzavřely?
","
Strany spolu uzavřely smlouvu o revolvingovém/spotřebitelském úvěru.",Strany uzavřely smlouvu o postoupení pohledávek.,2
450001.txt,"
Kdo nesl ve věci důkazní břemeno?
","
Důkazní břemeno přešlo na žalovanou, protože žalobkyně nemůže prokazovat, že žalovaná něco neučinila.","Důkazní břemeno ohledně skutečnosti, že žalovaná nezaplatila žalovanou částku, přechází na žalovanou. Je na žalované, aby soudu prokázala, že zaplatila řádně a včas.",7
449857.txt,"
Z jakých důkazů soud vyšel?
","
Zjištěné údaje o vozidle [registrační značka], druhá upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 19.8.2020, předžalobní upomínka ze dne 24.11.2020, zjištěné údaje o vozidle [registrační značka], výzva k zaplacení dlužné částky ze dne 29.9.2022, předžalobní upomínka ze dne 29.11.2022, výzva k zaplacení dlužné částky ze dne 3.10.2022 včetně sledování zásilek, upomínka o úhradu nedoplatku ze dne 9.7.2022, výzva k úhradě příspěvku do garančního fondu ze dne 11.3.2022, upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 11.2.2021.","Soud vyšel z následujících důkazů: zjištěné údaje o vozidle (registrační značka), druhá upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 19.8.2020, předžalobní upomínka ze dne 24.11.2020, zjištěné údaje o vozidle (registrační značka), výzva k zaplacení dlužné částky ze dne 29.9.2022, předžalobní upomínka ze dne 29.11.2022, výzva k zaplacení dlužné částky ze dne 3.10.2022 včetně sledování zásilek, upomínka o úhradu nedoplatku ze dne 9.7.2022, výzva k úhradě příspěvku do garančního fondu ze dne 11.3.2022, upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 11.2.2021. Na základě těchto důkazů soud dospěl k závěru, že žalovaný neuzavřel smlouvu o pojištění odpovědnosti za škodu způsobenou vozidlem, které vlastnil v určitém období, a neprovedl platbu za nepojištěné vozidlo, přestože byl k tomu vyzván a upomínán.",9
895.txt,"
Které měsíce žalovaný poplatek zaplatil?
","
Žalovaný zaplatil za leden až duben 2018.",Žalovaný zaplatil televizní poplatek za měsíce duben 2017 až červenec 2019 (vyjma měsíců leden 2018 až duben 2018). Celkem tedy zaplatil 3 240 Kč.,4
454305.txt,"
Jakým způsobem se žalovaný bránil proti žalobě?
","
Žalovaný se vůbec nevyjádřil.",Žalovaný se k žalobě nevyjádřil.,9
449826.txt,"
Kolik toho žalovaná splatila?
","
Žalovaná splatila částku 22.910 Kč, tedy 9 splátek.","Žalovaná splatila celkem 22.910 Kč, což odpovídá 9 splátkám.",10
454304.txt,"
Kolik požadovala žalobkyně a kolik jí soud přiznal?
","
Soud přiznal žalobkyni částku 129 328,71 Kč se zákonným úrokem z prodlení ve výši 7,75% ročně z částky 105 049,77 Kč. Žalobkyně navíc požadovala zaplacení úroku ve výši 14,2 % ročně z částky 102 232,13 Kč od [datum] do zaplacení a zákonného úroku z prodlení ve výši 7,75 % ročně z částky 10 603,36 Kč od [datum] do zaplacení.","Žalobkyně požadovala částku 129 328,71 Kč. Soud jí přiznal tuto částku.",5
454243.txt,"
Kde je stanovena denní sazbu příspěvku pojištění odpovědnosti při provozu osobního automobilu?
","
Denní sazba je uvedena v ust. § 2 odst. 1 vyhlášky Ministerstva financí č. 205/1999 Sb.","Denní sazba příspěvku pojištění odpovědnosti při provozu osobního automobilu je stanovena vyhláškou Ministerstva financí č. 205/1999 Sb. Podle této vyhlášky se výše denní sazby příspěvku liší podle zdvihového objemu válců motoru. Pro osobní automobil se zdvihovým objemem válců motoru do 1 000 cm3 včetně je denní sazba 30 Kč, pro automobil s objemem nad 1 000 cm3 do 1 350 cm3 včetně je denní sazba 35 Kč, pro automobil s objemem nad 1 350 cm3 do určitého čísla cm3 včetně je denní sazba 47 Kč, pro automobil s objemem nad 1 850 cm3 do určitého čísla cm3 včetně je denní sazba 65 Kč a pro automobil s objemem nad 2 500 cm3 je denní sazba 93 Kč.",8
449749.txt,"
V jakém složení soud rozhodl ve věci?
","
Věc posuzovala samosoudkyně.",Soud ve věci rozhodl v složení samosoudkyně Mgr. Zuzana Lasotová Brabcová.,9
449644.txt,"
Kdo tento soudní spor vyhrál?
","
Vyhrála žalobykně, byť jen částečně (soud část žaloby zamítl).",Žalobkyně vyhrála tento soudní spor.,8
449893.txt,"
O jakou neplatnost smlouvy se v tomto případě jednalo?
","
Neplatnost absolutní.","V tomto případě se jednalo o neplatnost smlouvy o spotřebitelském úvěru. Soud dospěl k závěru, že smlouva je neplatná pro rozpor se zákonem (§ 588 o. z.) a zároveň zjevně narušuje veřejný pořádek. Jedná se o neplatnost absolutní, což znamená, že smlouva je neplatná od samého počátku a na právní úkon se hledí jako by nikdy nevznikl.",10
454226.txt,"
Jak se žalovaný bránil proti žalobě?
","
Žalovaný se nijak nevyjádřil.","Žalovaný se proti žalobě nevyjádřil a neinformoval soud o žádném vážném důvodu, který by mu v tom bránil. Soud proto měl za to, že nárok, který byl proti němu žalobou uplatněn, uznává a na základě toho rozhodl rozsudkem pro uznání dle § 153a odst. 3 občanského soudního řádu.",9
449948.txt,"
Jaká úroková sazba byla mezi stranami sjednána?
","
Úroková sazba byla 2,90 % p.a. a 20% p.a. v případě úroku z prodlení.","Úroková sazba mezi stranami sjednaná byla fixní úroková sazba 2,90 % p.a. v období ode dne prvního čerpání úvěru do [datum].",5
449878.txt,"
Na koho se soud v rozhodnutí odvolává?
","
Soud se odvolává na rozhodnutí Soudního dvora EU z roku 2020.","Soud se v rozhodnutí odvolává na Soudní dvůr, který ve věci C (OPR- [právnická osoba] proti GK) vyslovil výklad článků 8 a 23 směrnice, který stanovuje, že vnitrostátní soud musí zkoumat, zda došlo k porušení předsmluvní povinnosti věřitele posoudit úvěruschopnost spotřebitele a vyvodit důsledky, které z tohoto porušení vyplývají ve vnitrostátním právu. Soudní dvůr také uvedl, že sankce za porušení této povinnosti musí splňovat požadavky článku 23 směrnice. Dále Soudní dvůr stanovil, že články 8 a 23 směrnice brání vnitrostátní úpravě, která stanovuje sankce za porušení předsmluvní povinnosti věřitele posoudit úvěruschopnost spotřebitele, a to pouze za podmínky, že spotřebitel tuto neplatnost namítne v tříleté promlčecí době.",9
449787.txt,"
Jak dlouho jezdil žalovaný bez pojištění odpovědnosti?
","
Žalovaný po 70 dní neměl sjednáno pojištění.","Žalovaný jezdil bez pojištění odpovědnosti 70 dní, a to od [datum] do [datum].",9
449829.txt,"
Odkdy dokdy nebylo vozidlo pojištěno?
","
Od 1. 6. 2021 do 30. 9. 2021 a od 1. 10. do 1. 11. 2021.","Vozidlo nebylo pojištěno od 1. 6. 2021 do 30. 9. 2021, což je celkem 122 dní. Dále nebylo pojištěno od 1. 10. 2021 do 1. 11. 2021, což je celkem 32 dní.",9
454398.txt,"
Co v tomto případu učinil žalovaný za právní kroky?
","
Žalovaný písemně uznal svůj dluh, ale k žalobě se nevyjádřil.","Žalovaný v tomto případě nevyjádřil souhlas s projednáním věci a rozhodnutím bez nařízení jednání. Soud vyzval žalovaného, aby se vyjádřil k této výzvě, avšak žalovaný se nevyjádřil. Soud proto předpokládal, že žalovaný souhlasí s projednáním věci a rozhodnutím bez nařízení jednání.",5
454274.txt,"
Podle jakých zákonů soud věc posoudil?
","
Soud věc posoudil podle zákona č. 458/2000 Sb., o podmínkách podnikání a o výkonu státní správy v energetických odvětvích a o změně některých zákonů (energetický zákon), ve spojení se zákonem č. 89/2012 Sb., občanský zákoník (dále jen„ OZ“).","Soud věc posoudil podle zákona č. 458/2000 Sb., o podmínkách podnikání a o výkonu státní správy v energetických odvětvích a o změně některých zákonů (energetický zákon), ve spojení se zákonem č. 89/2012 Sb., občanský zákoník (OZ). Konkrétně se soud odvolával na § 72 odst. 2 větu první energetického zákona, který stanoví, že smlouvou o sdružených službách dodávky plynu se výrobce plynu nebo obchodník s plynem zavazuje dodávat zákazníkovi plyn a zajistit související služby v plynárenství na vlastní jméno a na vlastní účet. Zákazník se naopak zavazuje zaplatit za dodávku plynu cenu a za související služby cenu uplatňovanou v souladu s cenovou regulací.",10
449683.txt,"
Jak se neodborně nazývá typ pojištění odpovědnosti, o kterém v případě šlo?
","
Povinné ručení","V případě šlo o pojištění odpovědnosti z provozu vozidla, které je také známé jako tzv. povinné ručení.",9
449698.txt,"
Jaký typ pojištění byl mezi stranami uzavřen?
","
Životní pojištění s pojistnou dobou 29 let.",Mezi stranami byla uzavřena Pojistná smlouva na životní pojištění.,2
450226.txt,"
Kolik titulů má soudce, který věc řešil?
","
Má 2 tituly: Mgr. a Bc.","Na základě poskytnuté části rozhodnutí nelze určit, kolik titulů má soudce, který věc řešil.",0
449702.txt,"
Čeho se dopustil žalovaný?
","
Žalovaný se dopustil bezdůvodného obohacení.","Žalovaný se dopustil bezdůvodného obohacení tím, že přijal peněžní prostředky ve výši 10 000 Kč na svůj bankovní účet, které mu byly poskytnuty společností [právnická osoba]. Pohledávka byla následně postoupena na žalobkyni a žalovaný, přes výzvu, částku nevrátil.",9
1018.txt,"
Kdo se chtěl rozvést s kým?
","
Návrh podal manžel, avšak manželka se k němu připojila rozvést se tedy chtěli oba dva manželé.",Manžel se chtěl rozvést se svou manželkou.,5
744.txt,"
Proč se manželé rozvedli?
","
Důvodem bylo neplnění společenské funkce manželství.","Manželé se rozvedli, protože manželka podala návrh na rozvod manželství s argumentem, že manželství neplní svoji společenskou funkci. Manžel s návrhem souhlasil. Soud zjistil, že manželství bylo uzavřeno po roční známosti z důvodu vzájemné citové náklonnosti. Oba manželé uvedli, že manželství bylo spokojené asi po dobu jednoho roku, ale poté mezi nimi vznikaly neshody ve finančních záležitostech a ve všech oblastech společného soužití. Manželé žijí odděleně asi čtyři roky a společné hospodaření a intimní soužití bylo ukončeno přibližně před čtyřmi lety. V současné době žádný z manželů není citově vázán k jinému partnerovi.",7
1925.txt,"
Jak se jmenuje společnost, která poskytla spotřebitelský úvěr?
","
Provident","Společnost, která poskytla spotřebitelský úvěr, se jmenuje Provident.",10
449935.txt,"
Podle kterého zákona soud posoudil skutkový stav?
","
Podle zák. č. 168/1999 Sb., o pojištění odpovědnosti z provozu vozidla.","Soud posoudil skutkový stav podle zákona č. 168/1999 Sb., o pojištění odpovědnosti z provozu vozidla, ve znění účinném v době tvrzeného provozování vozidla bez uzavřeného pojištění odpovědnosti.",9
449892.txt,"
Jakou částku (už) žalovaný žalobkyni uhradil?
","
Žalovaný neuhradil žádnou částku, proto byl žalován.","Žalovaný žalobkyni uhradil částku ve výši 69 848,18 Kč.",0
449861.txt,"
Jakou smlouvu spolu uzavřeli žalobci a žalovaný?
","
Smlouvu o nájmu nebytových prostor.","Žalobci a žalovaný uzavřeli smlouvu o nájmu nebytových prostor v ulici [příjmení] [anonymizováno] v přízemí budovy [adresa]. Žalovaný se zavázal platit žalobcům nájemné do 25. dne měsíce předcházejícího. Byla také sjednána smluvní pokuta ve výši 0,05 % z dlužné částky za každý den prodlení s úhradou nájemného. Nájemné za období od 1. 1. 2020 do 31. 3. 2020 činilo 25 000 Kč měsíčně a od 1. 4. 2020 činilo nájemné 20 000 Kč měsíčně. Dne 22. 11. 2021 byla mezi žalobci a žalovaným uzavřena dohoda o ukončení nájmu.",9
12502.txt,"
Kolikrát žalovaný použil dopravní prostředek žalobkyně?
","
Žalovený takto cestoval jednou a to tramvají.",Žalovaný použil dopravní prostředek žalobkyně jednou.,7
449869.txt,"
Proč je žalovaný povinen něco platit žalobci?
","
Protože žalovaný užíval byt žalobce bez právního důvodu a bezdůvodně se tak obohatil.","Žalovaný je povinen něco platit žalobci, protože se bez spravedlivého důvodu obohatil na jeho úkor. Žalovaný získal majetkový prospěch tím, že užíval byt bez právního důvodu a za to žalobci nehradil. Vzhledem k tomu, že vydání předmětu bezdůvodného obohacení není dobře možné, má žalobce právo na peněžitou náhradu ve výši obvyklé ceny. Obvyklou cenou je částka, kterou by žalovaný byl povinen za obvyklých okolností platit za nájem předmětného bytu. Soud určil tuto částku dle předpisu nájemného. Splatnost bezdůvodného obohacení nastala po uplynutí lhůty k plnění ve výzvě, kterou zaslal žalobce žalovanému. Žalovaný je tedy v prodlení a soud přiznal žalobci zákonný úrok z prodlení.",9
450042.txt,"
K jakému soudu je možné podat ve věci odvolání?
","
Ke Krajskému soudu v Brně prostřednictvím Okresního soudu v Jihlavě.",Ve věci odvolání je možné podat odvolání ke Krajskému soudu v Brně prostřednictvím Okresního soudu v Jihlavě.,10
