file_name,question,human_answer,llm_answer,score
949.txt,"
Čeho se týkala smlouva mezi žalobkyní a žalovanou?
","
Smlouva se týkala dodávky zemního plynu do odběrného místa."," Šlo Between the plaintiff and the defendant was a contract for the supply of natural gas, according to which the plaintiff delivered gas to the defendant's address at [street and number] between [date] and [date] for an unpaid amount of CZK 1,124. The debt became due on [date]. The defendant also failed to pay for the gas supply for the period from [date] to [date] in the amount of CZK 594. The debt became due on [date]. In addition, the plaintiff",2
807.txt,"
Co je to exponenciální časová složitost?
","
Bohužel není možné odpovědět na základě poskytnutých informací, ty se týkají soudních rozhodnutí."," Exponenciální časová složitost je situace, když právník poskytne službu klientovi prostřednictvím telefonické konzultace a následně klient souhlasí s uhradením nákladů, ale neuhradí je. Tato situace je možná i v jiných oborech, než jsou právní služby, napříkle v oboru informační technologie, kde může být složitost nabyta pomocí exponenci",1
663.txt,"
Které zákony soud použil při svém rozhodování?
","
Soud postupoval podle občanského zákoníku a podle občanského soudního řádu."," Soud použil při svém rozhodování následující zákony:

* Občanský zákoník (§ 2758 odst. 1 a § 2782 odst. 1)
* Zákon o dlužnících (§ 1970)
* Vyhláška č. 351/2013 Sb., ve znění pozdějších předpisů
* Advokátní tarif (§ 6 odst. 1 a § ",2
697.txt,"
Jaké číslo má zákon, podle kterého soud postupoval?
","
Číslo zákona je 348/2005 Sb.", Zákon č. 348/2005 Sb.,10
12521.txt,"
Jakou smlouvu spolu strany uzavřely?
","
Strany spolu uzavřely smlouvu o revolvingovém/spotřebitelském úvěru.", Smlouvu o postoupení pohledávek a smlouvu o revolvingovém úvěru.,4
450001.txt,"
Kdo nesl ve věci důkazní břemeno?
","
Důkazní břemeno přešlo na žalovanou, protože žalobkyně nemůže prokazovat, že žalovaná něco neučinila."," Žalovaná nesla důkazní břemeno, neboť žalobkyně nemohla prokazat negativní skutečnost, že žalovaná neučinila úhradu.",9
449857.txt,"
Z jakých důkazů soud vyšel?
","
Zjištěné údaje o vozidle [registrační značka], druhá upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 19.8.2020, předžalobní upomínka ze dne 24.11.2020, zjištěné údaje o vozidle [registrační značka], výzva k zaplacení dlužné částky ze dne 29.9.2022, předžalobní upomínka ze dne 29.11.2022, výzva k zaplacení dlužné částky ze dne 3.10.2022 včetně sledování zásilek, upomínka o úhradu nedoplatku ze dne 9.7.2022, výzva k úhradě příspěvku do garančního fondu ze dne 11.3.2022, upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 11.2.2021."," Soud vyšel z následujících důkazů:

* Listiny: zjištěné údaje o vozidle (registrační značka), druhá upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 19.8.2020, předžalobní upomínka ze dne 24.11.2020, zjištěné údaje o vozidle (registrační značka), výzva k",4
895.txt,"
Které měsíce žalovaný poplatek zaplatil?
","
Žalovaný zaplatil za leden až duben 2018."," Answer:
Žalovaný poplatek zaplatil pouze za měsíce leden 2018 až duben 2018.",10
454305.txt,"
Jakým způsobem se žalovaný bránil proti žalobě?
","
Žalovaný se vůbec nevyjádřil.", Žalovaný se nevyjádřil ke žalobě.,10
449826.txt,"
Kolik toho žalovaná splatila?
","
Žalovaná splatila částku 22.910 Kč, tedy 9 splátek."," Žalovaná splatila 22.910 Kč, tzn. 9 splátek.",10
454304.txt,"
Kolik požadovala žalobkyně a kolik jí soud přiznal?
","
Soud přiznal žalobkyni částku 129 328,71 Kč se zákonným úrokem z prodlení ve výši 7,75% ročně z částky 105 049,77 Kč. Žalobkyně navíc požadovala zaplacení úroku ve výši 14,2 % ročně z částky 102 232,13 Kč od [datum] do zaplacení a zákonného úroku z prodlení ve výši 7,75 % ročně z částky 10 603,36 Kč od [datum] do zaplacení."," Answer:
Žalobkyně požadovala 105 049,77 Kč + 10 603,36 Kč = 115 653,13 Kč.
Soud jí přiznal 129 328,71 Kč.",2
454243.txt,"
Kde je stanovena denní sazbu příspěvku pojištění odpovědnosti při provozu osobního automobilu?
","
Denní sazba je uvedena v ust. § 2 odst. 1 vyhlášky Ministerstva financí č. 205/1999 Sb.", Denní sazba příspěvku pojištění odpovědnosti při provozu osobního automobilu je stanovena Ministerstvem financí vyhláškou č. 205/1999 Sb.,4
449749.txt,"
V jakém složení soud rozhodl ve věci?
","
Věc posuzovala samosoudkyně.", Ve věci rozhodl soud v složení samosoudkyně Mgr. Zuzany Lasotové Brabcové.,10
449644.txt,"
Kdo tento soudní spor vyhrál?
","
Vyhrála žalobykně, byť jen částečně (soud část žaloby zamítl).", I. Žalovaný,1
449893.txt,"
O jakou neplatnost smlouvy se v tomto případě jednalo?
","
Neplatnost absolutní.", Šlo o neplatnost smlouvy o spotřebitelském úvěru z důvodu rozporu se zákonem (§ 588 občanského zákoníku) a současně zjevného narušování veřejného pořádku.,2
454226.txt,"
Jak se žalovaný bránil proti žalobě?
","
Žalovaný se nijak nevyjádřil.", Žalovaný se nevyjádřil vůbec.,10
449948.txt,"
Jaká úroková sazba byla mezi stranami sjednána?
","
Úroková sazba byla 2,90 % p.a. a 20% p.a. v případě úroku z prodlení."," Answer:
2,90 % p.a.",5
449878.txt,"
Na koho se soud v rozhodnutí odvolává?
","
Soud se odvolává na rozhodnutí Soudního dvora EU z roku 2020."," Soud se v rozhodnutí odvolává na spotřebitele, kteří mají podezření, že nedostatečné posouzení úvěruschopnosti způsobuje neplatnost absolutní nebo relativní úvěrové smlouvy.",1
449787.txt,"
Jak dlouho jezdil žalovaný bez pojištění odpovědnosti?
","
Žalovaný po 70 dní neměl sjednáno pojištění.", Žalovaný jel bez pojištění odpovědnosti celkem 70 dní.,10
449829.txt,"
Odkdy dokdy nebylo vozidlo pojištěno?
","
Od 1. 6. 2021 do 30. 9. 2021 a od 1. 10. do 1. 11. 2021.", Od 1. 6. 2021 do 30. 9. 2021 (celkem 122 dní) a od 1. 10. 2021 do 1. 11. 2021 (celkem 32 dní).,10
454398.txt,"
Co v tomto případu učinil žalovaný za právní kroky?
","
Žalovaný písemně uznal svůj dluh, ale k žalobě se nevyjádřil."," Žalovaný se nevyjádřil ke žalobě a neuznal částku 11 500 Kč, kterou mu žalobkyně byla nucena uhradit za úhradu nákladů spojených s jeho ošetřením a pobytem na protialkoholní záchytné stanici. Žalovaný tak porušil svou povinnost platit úhradu a nebyl schopen splnit své závazky. Proto byl soudním roz",1
454274.txt,"
Podle jakých zákonů soud věc posoudil?
","
Soud věc posoudil podle zákona č. 458/2000 Sb., o podmínkách podnikání a o výkonu státní správy v energetických odvětvích a o změně některých zákonů (energetický zákon), ve spojení se zákonem č. 89/2012 Sb., občanský zákoník (dále jen„ OZ“)."," According to the provided text, the court assessed the case based on the following laws:

* Act No. 458/2000 Coll., on the conditions for business activities and the exercise of state administration in energy industries, and on the amendment of certain acts (Energy Act)
* Act No. 89/2012 Coll., Civil Code (OBČANSKÝ ZÁKONÍK)",10
449683.txt,"
Jak se neodborně nazývá typ pojištění odpovědnosti, o kterém v případě šlo?
","
Povinné ručení"," Český termín pro označení druhu pojištění odpovědnosti, o němž šlo v daném případě, je ""povinné ručení"".",10
449698.txt,"
Jaký typ pojištění byl mezi stranami uzavřen?
","
Životní pojištění s pojistnou dobou 29 let.", Životní pojištění na 29 let s počátkem pojištění [datum].,9
450226.txt,"
Kolik titulů má soudce, který věc řešil?
","
Má 2 tituly: Mgr. a Bc.", Mgr. Bc. Petr Závadský je samosoudcem.,10
449702.txt,"
Čeho se dopustil žalovaný?
","
Žalovaný se dopustil bezdůvodného obohacení."," Žalovaný se dopustil nevrátení částky 10 000 Kč, která mu byla poskytnuta společností [právnická osoba] na jeho bankovní účet, ačkoliv mu bylo vyrozuměno, že musí tuto částku vrátit. Tento čin je considрован jako bezdůvodné obohacení.",7
1018.txt,"
Kdo se chtěl rozvést s kým?
","
Návrh podal manžel, avšak manželka se k němu připojila rozvést se tedy chtěli oba dva manželé."," Answer:
Manžel se chtěl rozvést s manželkou.",2
744.txt,"
Proč se manželé rozvedli?
","
Důvodem bylo neplnění společenské funkce manželství."," Answer:
Manželé se rozvedli kvůli vzniku neshod mezi nimi, zejména v oblasti financí a následného všech oblastí společného soužití, které vedly ke ztrátě vzájemné citové náklonnosti.",2
1925.txt,"
Jak se jmenuje společnost, která poskytla spotřebitelský úvěr?
","
Provident", Provident.,10
449935.txt,"
Podle kterého zákona soud posoudil skutkový stav?
","
Podle zák. č. 168/1999 Sb., o pojištění odpovědnosti z provozu vozidla."," Podle zákona č. 168/1999 Sb., o pojištění odpovědnosti z provozu vozidla, ve znění účinném v době tvrzeného provozování vozidla bez uzavřeného pojištění odpovědnosti.",10
449892.txt,"
Jakou částku (už) žalovaný žalobkyni uhradil?
","
Žalovaný neuhradil žádnou částku, proto byl žalován.", Žalovaný žalobkyni uhradil částku 60 000 Kč.,1
449861.txt,"
Jakou smlouvu spolu uzavřeli žalobci a žalovaný?
","
Smlouvu o nájmu nebytových prostor."," Žalobci a žalovaný uzavřeli smlouvu o nájmu nebytových prostor v ulici [příjmení] [anonymizováno] v přízemí budovy [adresa] pro obchodní prostory – jedna místnost a zázemí, šatna, WC.",10
12502.txt,"
Kolikrát žalovaný použil dopravní prostředek žalobkyně?
","
Žalovený takto cestoval jednou a to tramvají."," Žalovaný použil dopravní prostředek žalobkyně jednou, a to dne [datum], kdy cestoval tramvají linkou 1 v [obec].",8
449869.txt,"
Proč je žalovaný povinen něco platit žalobci?
","
Protože žalovaný užíval byt žalobce bez právního důvodu a bezdůvodně se tak obohatil."," Žalovaný je povinen zaplatit žalobci náhradu ve výši obvyklé ceny (obvyklé nájemné) za užívání předmětného bytu bez právního důvodu, jelikož se bezdůvodně obohatil na úkor žalobce. Tento případ se řídí ust. § 2991 a násl. o.z., které stanovují, že kdo se na úkor jiného bez spravedlivého důvod",8
450042.txt,"
K jakému soudu je možné podat ve věci odvolání?
","
Ke Krajskému soudu v Brně prostřednictvím Okresního soudu v Jihlavě.", Možné je podat odvolání k Krajskému soudu v Brně prostřednictvím Okresního soudu v Jihlavě.,10
